date,amount,category,description,payment_method,is_fixed,essential
2026-01-30,17900,교통비,택시,신용카드,False,False
01.14,5000,식비,삼겹살집,체크카드,False,False
2026-01-19,19200,교통비,카카오T,계좌이체,False,True
2026-01-01,17000,쇼핑,무인양품,계좌이체,False,False
01.20,"50,000",교육,토익접수,신용카드,False,True
2026-01-25,12800,교통비,카카오T,계좌이체,False,True
2026-01-11,11000,구독,넷플릭스,신용카드,True,False
2026-01-31,50000,주거/통신,SKT통신비,계좌이체,True,True
2026/01/09,3400,교통비,GS칼텍스,계좌이체,False,True
2026-01-13,49000,문화/여가,PC방,계좌이체,False,False
2026-01-10,115000,쇼핑,ZARA,계좌이체,False,False
2026-01-08,"40,000",문화/여가,교보문고,체크카드,False,False
01.24,9000,식비,삼겹살집,현금,False,False
2026-01-20,"22,000",문화/여가,야구장,현금,False,False
2026-01-20,15000,식비,투썸플레이스,체크카드,False,False
2026-01-01,9300,교통비,SK주유소,신용카드,False,True
2026-01-30,20000,식비,쿠팡이츠,계좌이체,False,False
2026/01/20,21600,교통비,코레일,체크카드,False,True
2026-01-09,25000,식비,스타벅스,현금,False,False
2026-01-24,128000,쇼핑,ZARA,신용카드,False,False
01.17,"11,000",문화/여가,CGV,체크카드,False,False
01.17,"25,000",식비,스타벅스,계좌이체,False,False
2026-01-03,43000,쇼핑,네이버쇼핑,계좌이체,False,False
2026-01-28,25000,식비,이마트24,현금,False,True
2026-01-01,"4,800",교통비,SK주유소,현금,False,True
2026/01/06,10000,식비,투썸플레이스,체크카드,False,True
2026-01-02,10200,교통비,GS칼텍스,계좌이체,False,True
2026-01-11,25000,식비,구내식당,현금,False,True
2026-01-23,90000,교육,교재구입,현금,False,True
2026-01-13,5000,문화/여가,볼링장,현금,False,False
2026-01-15,21600,교통비,지하철,신용카드,False,True
01.14,14900,교통비,지하철,현금,False,True
2026-01-15,"14,000",문화/여가,PC방,신용카드,False,False
2026-01-27,22000,식비,스타벅스,현금,False,False
2026-01-06,"24,200",교통비,택시,현금,False,False
2026-01-25,700000,주거/통신,월세,계좌이체,True,True
2026-01-10,"21,000",쇼핑,올리브영,신용카드,False,False
2026-01-22,10000,주거/통신,도시가스,계좌이체,True,True
2026-01-31,12000,문화/여가,볼링장,체크카드,False,False
01.14,"139,000",쇼핑,ZARA,신용카드,False,False
2026-01-11,14000,식비,삼겹살집,신용카드,False,False
2026-01-13,23000,구독,멜론,신용카드,True,False
2026/01/21,20300,교통비,카카오T,계좌이체,False,True
2026-01-16,"20,000",식비,김밥천국,계좌이체,False,True
2026-01-24,17700,교통비,택시,현금,False,False
01.01,20000,주거/통신,인터넷요금,계좌이체,True,True
2026-01-13,23000,식비,김밥천국,신용카드,False,True
2026-01-22,"15,000",식비,삼겹살집,계좌이체,False,False
2026-01-27,4800,교통비,SK주유소,체크카드,False,True
2026-01-18,"44,000",문화/여가,교보문고,현금,False,False
2026-01-09,14000,식비,투썸플레이스,계좌이체,False,False
01.28,"119,000",쇼핑,무인양품,신용카드,False,False
2026-01-17,37000,의료/건강,약국,신용카드,False,True
01.23,24000,식비,이마트24,신용카드,False,True
2026-01-26,"142,000",쇼핑,ZARA,신용카드,False,False
2026-01-13,47000,의료/건강,내과,계좌이체,False,True
2026-01-04,24000,문화/여가,볼링장,신용카드,False,False
2026-01-08,"10,000",식비,GS25,현금,False,True
2026-01-14,29000,쇼핑,네이버쇼핑,현금,False,False
2026-01-12,8000,문화/여가,교보문고,신용카드,False,False
2026-01-21,"25,000",식비,배달의민족,현금,False,False
2026-01-08,109000,쇼핑,올리브영,현금,False,False
01.03,"11,500",교통비,GS칼텍스,신용카드,False,True
2026-01-11,"6,000",교통비,SK주유소,체크카드,False,True
2026-01-24,13000,식비,삼겹살집,신용카드,False,False
2026-01-27,"16,000",식비,투썸플레이스,계좌이체,False,False
2026-01-02,12000,식비,맥도날드,계좌이체,False,False
2026-01-26,"17,700",교통비,버스,신용카드,False,True
01.09,"17,000",식비,GS25,현금,False,True
2026-02-01,"17,000",식비,삼겹살집,현금,False,False
2026/01/20,"130,000",주거/통신,관리비,계좌이체,True,True
2026-01-30,21900,교통비,택시,현금,False,False
2026-01-05,22700,교통비,카카오T,체크카드,False,True
2026-01-29,24000,식비,스타벅스,신용카드,False,False
2026-01-18,10200,교통비,SK주유소,현금,False,True
2026-01-05,"7,000",식비,GS25,신용카드,False,True
2026-01-16,25000,문화/여가,PC방,신용카드,False,False
