date,amount,category,description,payment_method,is_fixed,essential
2026-01-31,23000,식비,맥도날드,계좌이체,False,False
2026-01-22,16000,식비,배달의민족,체크카드,False,False
2026-01-20,"22,000",식비,스타벅스,체크카드,False,False
2026-01-07,3500,교통비,택시,체크카드,False,False
2026-01-01,114000,쇼핑,쿠팡,체크카드,False,False
2026.01.02,"20,000",식비,GS25,신용카드,False,True
2026-01-15,"21,000",식비,김밥천국,신용카드,False,True
2026-01-19,6000,의료/건강,내과,체크카드,False,True
2026-01-08,18400,교통비,버스,체크카드,False,True
2026-01-29,22000,문화/여가,PC방,현금,False,False
2026/01/09,"24,000",식비,배달의민족,계좌이체,False,False
2026-01-20,12000,식비,GS25,계좌이체,False,True
2026-01-15,24000,구독,넷플릭스,신용카드,True,False
2026-01-23,"11,000",구독,멜론,신용카드,True,False
2026-01-15,"10,000",식비,맥도날드,신용카드,False,False
2026-01-20,46000,쇼핑,무인양품,현금,False,False
2026-01-20,30000,기타,모임회비,계좌이체,False,False
2026-01-01,"16,000",식비,김밥천국,신용카드,False,True
2026-01-14,18000,식비,스타벅스,신용카드,False,False
2026-01-31,56000,쇼핑,유니클로,현금,False,False
2026.01.29,24500,교통비,코레일,신용카드,False,True
2026-01-16,78000,쇼핑,쿠팡,계좌이체,False,False
2026-01-10,34000,문화/여가,롯데월드,계좌이체,False,True
2026-01-25,7000,식비,맥도날드,현금,False,False
2026-01-19,24200,교통비,GS칼텍스,현금,False,True
2026-01-24,"103,000",쇼핑,ZARA,계좌이체,False,False
2026-01-08,1900,교통비,버스,계좌이체,False,True
2026-01-15,5600,교통비,카카오T,현금,False,True
2026-01-31,"19,000",식비,GS25,체크카드,False,True
2026-01-19,11000,식비,배달의민족,신용카드,False,False
2026-01-16,55000,쇼핑,다이소,체크카드,False,True
2026-01-14,"87,000",쇼핑,무신사,신용카드,False,False
2026-01-31,25000,식비,이마트24,신용카드,False,True
2026/01/17,12000,식비,스타벅스,신용카드,False,False
2026.01.21,17000,구독,쿠팡와우,신용카드,True,False
2026-01-29,15000,식비,삼겹살집,체크카드,False,False
2026-01-22,"4,000",식비,스타벅스,신용카드,False,False
2026-01-22,97000,쇼핑,네이버쇼핑,신용카드,False,False
2026.01.13,"19,000",식비,김밥천국,현금,False,True
2026.01.25,8000,식비,투썸플레이스,신용카드,False,False
2026-01-19,10600,교통비,택시,계좌이체,False,False
2026-01-02,"23,000",식비,쿠팡이츠,체크카드,False,False
2026-01-17,17000,식비,GS25,체크카드,False,True
2026-01-06,"83,000",쇼핑,네이버쇼핑,계좌이체,False,False
2026-01-31,5500,교통비,버스,신용카드,False,True
2026-01-14,"50,000",교육,교재구입,체크카드,True,True
2026-01-04,14000,구독,유튜브프리미엄,신용카드,True,False
2026-01-29,"22,000",식비,배달의민족,체크카드,False,False
2026-01-09,25000,식비,삼겹살집,현금,False,False
2026-01-21,"23,000",식비,구내식당,체크카드,False,True
